pair_label,family,sample,shots,forbidden_rate,even_rate,job_id
00,Z,0,128,0.046875,0.984375,d7lgquk3g2mc7391aokg
00,Z,1,128,0.1015625,0.9609375,d7lgr0lqrg3c738k38g0
00,Z,2,128,0.0625,0.9609375,d7lgr2baq2pc73a0hd8g
00,Z,3,128,0.078125,0.9453125,d7lgr5c3g2mc7391ap00
00,Z,4,128,0.0546875,0.9765625,d7lgr6raq2pc73a0hdfg
00,Z,5,128,0.0859375,0.96875,d7lgr9it99kc73d1c8l0
00,Z,6,128,0.078125,0.9453125,d7lgrb3aq2pc73a0hdk0
00,Z,7,128,0.0625,0.96875,d7lgrdjaq2pc73a0hdng
00,Z,8,128,0.1171875,0.96875,d7lgrfc3g2mc7391apbg
00,Z,9,128,0.0703125,0.9765625,d7lgrhs3g2mc7391apeg
00,Z,10,128,0.0625,0.9765625,d7lgrjlqrg3c738k396g
00,Z,11,128,0.046875,0.9453125,d7lgrm5qrg3c738k39a0
00,Z,12,128,0.0703125,0.9921875,d7lgrnraq2pc73a0he30
00,Z,13,128,0.046875,0.921875,d7lgrqit99kc73d1c9b0
00,Z,14,128,0.046875,0.96875,d7lgrsat99kc73d1c9e0
00,Z,15,128,0.0859375,0.984375,d7lgruqt99kc73d1c9hg
00,Z,16,128,0.1015625,0.96875,d7lgs0c3g2mc7391aq10
00,Z,17,128,0.0703125,0.984375,d7lgs2s3g2mc7391aq5g
00,Z,18,128,0.046875,0.9765625,d7lgs4it99kc73d1c9o0
00,Z,19,128,0.078125,0.9609375,d7lgs7c3g2mc7391aqag
01,Z,0,128,0.8984375,0.9296875,d7lgs8qt99kc73d1ca0g
01,Z,1,128,0.9140625,0.9453125,d7lgsbtqrg3c738k3a70
01,Z,2,128,0.8984375,0.90625,d7lgsf5qrg3c738k3aag
01,Z,3,128,0.875,0.90625,d7lgsitqrg3c738k3afg
01,Z,4,128,0.8984375,0.9375,d7lgsm5qrg3c738k3ak0
01,Z,5,128,0.9140625,0.9453125,d7lgsplqrg3c738k3aog
01,Z,6,128,0.9609375,0.9765625,d7lgst3aq2pc73a0hfg0
01,Z,7,128,0.8671875,0.90625,d7lgt0k3g2mc7391arcg
01,Z,8,128,0.8671875,0.9140625,d7lgt443g2mc7391arjg
01,Z,9,128,0.875,0.9140625,d7lgt7baq2pc73a0hfvg
01,Z,10,128,0.8828125,0.90625,d7lgtaqt99kc73d1cbc0
01,Z,11,128,0.8828125,0.90625,d7lgte3aq2pc73a0hgb0
01,Z,12,128,0.9453125,0.953125,d7lgthjaq2pc73a0hgf0
01,Z,13,128,0.921875,0.921875,d7lgtl2t99kc73d1cbq0
01,Z,14,128,0.8671875,0.90625,d7lgtolqrg3c738k3c20
01,Z,15,128,0.921875,0.9296875,d7lgtrqt99kc73d1cc1g
01,Z,16,128,0.9453125,0.953125,d7lgtvdqrg3c738k3ce0
01,Z,17,128,0.8984375,0.921875,d7lgu2qt99kc73d1cccg
01,Z,18,128,0.921875,0.9453125,d7lgu6at99kc73d1ccgg
01,Z,19,128,0.9296875,0.953125,d7lgu9qt99kc73d1cclg
10,Z,0,128,0.8984375,0.953125,d7lgudbaq2pc73a0hhig
10,Z,1,128,0.84375,0.9140625,d7lgukc3g2mc7391atl0
10,Z,2,128,0.859375,0.9609375,d7lgunlqrg3c738k3dbg
10,Z,3,128,0.8203125,0.9453125,d7lgurc3g2mc7391ats0
10,Z,4,128,0.8203125,0.921875,d7lguulqrg3c738k3djg
10,Z,5,128,0.8984375,0.96875,d7lgv55qrg3c738k3dt0
10,Z,6,128,0.859375,0.9296875,d7lgv6qt99kc73d1cdsg
10,Z,7,128,0.8359375,0.921875,d7lgvcat99kc73d1ce30
10,Z,8,128,0.8984375,0.953125,d7lgve5qrg3c738k3e90
10,Z,9,128,0.875,0.9609375,d7lgvjlqrg3c738k3efg
10,Z,10,128,0.8828125,0.9453125,d7lgvl5qrg3c738k3ejg
10,Z,11,128,0.859375,0.9296875,d7lgvqc3g2mc7391autg
10,Z,12,128,0.8515625,0.9375,d7lgvs5qrg3c738k3evg
10,Z,13,128,0.8203125,0.8984375,d7lh01baq2pc73a0hji0
10,Z,14,128,0.859375,0.8984375,d7lh0343g2mc7391av9g
10,Z,15,128,0.84375,0.90625,d7lh08it99kc73d1cf6g
10,Z,16,128,0.875,0.9375,d7lh0adqrg3c738k3fhg
10,Z,17,128,0.8125,0.953125,d7lh0fit99kc73d1cfgg
10,Z,18,128,0.8359375,0.9296875,d7lh0hlqrg3c738k3fqg
10,Z,19,128,0.8046875,0.90625,d7lh0mqt99kc73d1cft0
11,Z,0,128,0.015625,0.953125,d7lh0r2t99kc73d1cg2g
11,Z,1,128,0.0078125,0.953125,d7lh0uc3g2mc7391b080
11,Z,2,128,0.0078125,0.9609375,d7lh1kat99kc73d1ch00
11,Z,3,128,0.0078125,0.9453125,d7lh1m3aq2pc73a0hlg0
11,Z,4,128,0.03125,0.9609375,d7lh1rlqrg3c738k3h50
11,Z,5,128,0.015625,0.953125,d7lh1t43g2mc7391b1e0
11,Z,6,128,0.015625,0.9453125,d7lh24lqrg3c738k3hg0
11,Z,7,128,0.015625,0.9453125,d7lh3e2t99kc73d1cjb0
11,Z,8,128,0.0078125,0.9765625,d7lh3r3aq2pc73a0ho70
11,Z,9,128,0.015625,0.921875,d7lh3tqt99kc73d1ck2g
11,Z,10,128,0.015625,0.9609375,d7lh41at99kc73d1ck80
11,Z,11,128,0.0078125,0.9375,d7lh44raq2pc73a0hon0
11,Z,12,128,0.0,0.9375,d7lh485qrg3c738k3k4g
11,Z,13,128,0.0234375,0.921875,d7lh49qt99kc73d1ckj0
11,Z,14,128,0.015625,0.953125,d7lh4mbaq2pc73a0hpbg
11,Z,15,128,0.0234375,0.9765625,d7lh4uat99kc73d1clbg
11,Z,16,128,0.0234375,0.953125,d7lh505qrg3c738k3l0g
11,Z,17,128,0.0390625,0.8984375,d7lh52jaq2pc73a0hpp0
11,Z,18,128,0.0078125,0.8671875,d7lh54jaq2pc73a0hprg
11,Z,19,128,0.0078125,0.9296875,d7lh5nqt99kc73d1cmcg
++,X,0,128,0.484375,0.9375,d7lh60qt99kc73d1cmn0
++,X,1,128,0.4765625,0.9375,d7lh635qrg3c738k3m70
++,X,2,128,0.5234375,0.96875,d7lh64raq2pc73a0hr30
++,X,3,128,0.484375,0.9609375,d7lh67it99kc73d1cn00
++,X,4,128,0.515625,0.9296875,d7lh6lat99kc73d1cng0
++,X,5,128,0.515625,0.9296875,d7lh6n3aq2pc73a0hrog
++,X,6,128,0.5,0.9453125,d7lh6rit99kc73d1cno0
++,X,7,128,0.34375,0.96875,d7lh6t5qrg3c738k3n70
++,X,8,128,0.5078125,0.96875,d7lh6us3g2mc7391b7k0
++,X,9,128,0.328125,0.9375,d7lh7vc3g2mc7391b8q0
++,X,10,128,0.453125,0.9140625,d7lh832t99kc73d1cp5g
++,X,11,128,0.4921875,0.921875,d7lh84jaq2pc73a0ht80
++,X,12,128,0.4921875,0.984375,d7lh86dqrg3c738k3ol0
++,X,13,128,0.4765625,0.953125,d7lh98jaq2pc73a0huh0
++,X,14,128,0.4609375,0.96875,d7lh9ak3g2mc7391ba8g
++,X,15,128,0.4453125,0.953125,d7lh9cbaq2pc73a0hulg
++,X,16,128,0.453125,0.984375,d7lh9ds3g2mc7391bad0
++,X,17,128,0.4375,0.9453125,d7lh9fk3g2mc7391baig
++,X,18,128,0.4765625,0.9453125,d7lh9h2t99kc73d1cr00
++,X,19,128,0.5,0.9453125,d7lh9jc3g2mc7391bang
+-,X,0,128,0.4453125,0.9453125,d7lh9kqt99kc73d1cr50
+-,X,1,128,0.4453125,0.9765625,d7lh9mtqrg3c738k3qeg
+-,X,2,128,0.4140625,0.9296875,d7lh9oit99kc73d1cr90
+-,X,3,128,0.4453125,0.921875,d7lh9qdqrg3c738k3qkg
+-,X,4,128,0.421875,0.90625,d7lh9s2t99kc73d1creg
+-,X,5,128,0.5,0.9453125,d7lh9tit99kc73d1crh0
+-,X,6,128,0.4296875,0.9609375,d7lh9vbaq2pc73a0hvdg
+-,X,7,128,0.484375,0.953125,d7lha143g2mc7391bb90
+-,X,8,128,0.390625,0.921875,d7lha2it99kc73d1crr0
+-,X,9,128,0.4140625,0.8671875,d7lha4at99kc73d1crtg
