threshold,n_unknowns,stat,acc_Z,acc_X,overall_accuracy
0.0,2,var,0.0,1.0,0.5
0.0,4,var,0.954,0.061,0.5075
0.0,6,var,0.998,0.0035,0.50075
0.0,8,var,0.999,0.0,0.4995
0.0,10,var,1.0,0.0,0.5
0.0,12,var,1.0,0.0,0.5
0.0,16,var,1.0,0.0,0.5
0.0,20,var,1.0,0.0,0.5
0.005,2,var,0.0,1.0,0.5
0.005,4,var,0.5075,0.97,0.73875
0.005,6,var,0.7665,0.963,0.8647499999999999
0.005,8,var,0.869,0.9775,0.92325
0.005,10,var,0.9315,0.9815,0.9565
0.005,12,var,0.9695,0.9845,0.9770000000000001
0.005,16,var,0.994,0.994,0.994
0.005,20,var,0.997,0.9935,0.99525
0.01,2,var,0.0,1.0,0.5
0.01,4,var,0.5065,0.999,0.75275
0.01,6,var,0.7665,1.0,0.88325
0.01,8,var,0.869,0.9995,0.93425
0.01,10,var,0.9315,0.9995,0.9655
0.01,12,var,0.9695,1.0,0.98475
0.01,16,var,0.994,1.0,0.997
0.01,20,var,0.997,1.0,0.9984999999999999
0.015,2,var,0.0,1.0,0.5
0.015,4,var,0.5065,0.9995,0.753
0.015,6,var,0.7665,1.0,0.88325
0.015,8,var,0.869,1.0,0.9345
0.015,10,var,0.9315,1.0,0.96575
0.015,12,var,0.9695,1.0,0.98475
0.015,16,var,0.994,1.0,0.997
0.015,20,var,0.997,1.0,0.9984999999999999
0.02,2,var,0.0,1.0,0.5
0.02,4,var,0.5065,1.0,0.75325
0.02,6,var,0.7665,1.0,0.88325
0.02,8,var,0.869,1.0,0.9345
0.02,10,var,0.9315,1.0,0.96575
0.02,12,var,0.9695,1.0,0.98475
0.02,16,var,0.994,1.0,0.997
0.02,20,var,0.997,1.0,0.9984999999999999
0.025,2,var,0.0,1.0,0.5
0.025,4,var,0.5065,1.0,0.75325
0.025,6,var,0.7665,1.0,0.88325
0.025,8,var,0.869,1.0,0.9345
0.025,10,var,0.9315,1.0,0.96575
0.025,12,var,0.9695,1.0,0.98475
0.025,16,var,0.994,1.0,0.997
0.025,20,var,0.997,1.0,0.9984999999999999
0.03,2,var,0.0,1.0,0.5
0.03,4,var,0.5065,1.0,0.75325
0.03,6,var,0.7665,1.0,0.88325
0.03,8,var,0.869,1.0,0.9345
0.03,10,var,0.9315,1.0,0.96575
0.03,12,var,0.9695,1.0,0.98475
0.03,16,var,0.994,1.0,0.997
0.03,20,var,0.997,1.0,0.9984999999999999
0.035,2,var,0.0,1.0,0.5
0.035,4,var,0.5065,1.0,0.75325
0.035,6,var,0.7665,1.0,0.88325
0.035,8,var,0.869,1.0,0.9345
0.035,10,var,0.9315,1.0,0.96575
0.035,12,var,0.9695,1.0,0.98475
0.035,16,var,0.994,1.0,0.997
0.035,20,var,0.997,1.0,0.9984999999999999
0.04,2,var,0.0,1.0,0.5
0.04,4,var,0.5065,1.0,0.75325
