pair_label,family,sample,shots,forbidden_rate,even_rate,job_id
00,Z,0,128,0.046875,0.953125,d8sd5t6kodhs7385e0t0
00,Z,1,128,0.0390625,0.9609375,d8sd6ra01fac73d5bh4g
00,Z,2,128,0.0390625,0.953125,d8sd7omkodhs7385e3p0
00,Z,3,128,0.0546875,0.9609375,d8sd8lugbcrc73f5h1m0
00,Z,4,128,0.046875,0.984375,d8sd9t6ab0ds73dsmf6g
00,Z,5,128,0.0546875,0.9609375,d8sdat6kodhs7385e9gg
00,Z,6,128,0.03125,0.984375,d8sdc6uab0ds73dsmjq0
00,Z,7,128,0.0703125,0.9765625,d8sddb6ab0ds73dsmm50
00,Z,8,128,0.0234375,0.9609375,d8sde16ab0ds73dsmmsg
00,Z,9,128,0.03125,0.96875,d8sdf5a01fac73d5bvh0
00,Z,10,128,0.015625,0.953125,d8sdg9q01fac73d5c0r0
00,Z,11,128,0.0078125,0.984375,d8sdhe201fac73d5c1vg
00,Z,12,128,0.0390625,0.96875,d8sdi4ekodhs7385ejrg
00,Z,13,128,0.03125,0.9296875,d8sdj1i01fac73d5c3v0
00,Z,14,128,0.046875,0.96875,d8sdk5uab0ds73dsmtig
00,Z,15,128,0.0546875,0.9609375,d8sdkruab0ds73dsmu90
00,Z,16,128,0.015625,0.96875,d8sdliegbcrc73f5hjh0
00,Z,17,128,0.046875,0.9609375,d8sdm9q01fac73d5c7e0
00,Z,18,128,0.0234375,0.96875,d8sdn7q01fac73d5c8ig
00,Z,19,128,0.03125,0.9921875,d8sdoceab0ds73dsn2e0
01,Z,0,128,0.9453125,0.9453125,d8sdp2eab0ds73dsn390
01,Z,1,128,0.953125,0.96875,d8sdpvmab0ds73dsn490
01,Z,2,128,0.9375,0.9453125,d8sdqsukodhs7385eto0
01,Z,3,128,0.9609375,0.9609375,d8sds16gbcrc73f5hqj0
01,Z,4,128,0.9765625,0.9765625,d8sdsuekodhs7385f060
01,Z,5,128,0.984375,0.984375,d8sdtrmkodhs7385f1ag
01,Z,6,128,0.984375,0.984375,d8sdv0ekodhs7385f2o0
01,Z,7,128,0.953125,0.953125,d8sdvm6kodhs7385f3ig
