threshold,n_unknowns,stat,acc_Z,acc_X,overall_accuracy
0.0,2,mad05,1.0,0.087,0.5435
0.0,4,mad05,1.0,0.0045,0.50225
0.0,6,mad05,1.0,0.001,0.5005
0.0,8,mad05,1.0,0.0005,0.50025
0.0,10,mad05,1.0,0.0,0.5
0.0,12,mad05,1.0,0.0,0.5
0.0,16,mad05,1.0,0.0,0.5
0.0,20,mad05,1.0,0.0,0.5
0.01,2,mad05,1.0,0.192,0.596
0.01,4,mad05,1.0,0.0525,0.52625
0.01,6,mad05,1.0,0.0175,0.50875
0.01,8,mad05,1.0,0.0105,0.50525
0.01,10,mad05,1.0,0.0015,0.50075
0.01,12,mad05,1.0,0.0015,0.50075
0.01,16,mad05,1.0,0.0,0.5
0.01,20,mad05,1.0,0.0,0.5
0.02,2,mad05,1.0,0.3,0.65
0.02,4,mad05,1.0,0.1865,0.59325
0.02,6,mad05,1.0,0.1005,0.55025
0.02,8,mad05,1.0,0.078,0.539
0.02,10,mad05,1.0,0.039,0.5195
0.02,12,mad05,1.0,0.0285,0.51425
0.02,16,mad05,1.0,0.0145,0.50725
0.02,20,mad05,1.0,0.008,0.504
0.03,2,mad05,1.0,0.4005,0.70025
0.03,4,mad05,1.0,0.2885,0.64425
0.03,6,mad05,1.0,0.246,0.623
0.03,8,mad05,1.0,0.2155,0.60775
0.03,10,mad05,1.0,0.1835,0.59175
0.03,12,mad05,1.0,0.1785,0.58925
0.03,16,mad05,1.0,0.097,0.5485
0.03,20,mad05,1.0,0.08,0.54
0.04,2,mad05,1.0,0.58,0.79
0.04,4,mad05,1.0,0.493,0.7464999999999999
0.04,6,mad05,1.0,0.4475,0.72375
0.04,8,mad05,1.0,0.427,0.7135
0.04,10,mad05,1.0,0.415,0.7075
0.04,12,mad05,1.0,0.395,0.6975
0.04,16,mad05,1.0,0.348,0.6739999999999999
0.04,20,mad05,1.0,0.355,0.6775
0.05,2,mad05,1.0,0.6045,0.80225
0.05,4,mad05,1.0,0.6255,0.81275
0.05,6,mad05,1.0,0.641,0.8205
0.05,8,mad05,1.0,0.642,0.821
0.05,10,mad05,1.0,0.674,0.837
0.05,12,mad05,1.0,0.6575,0.82875
0.05,16,mad05,1.0,0.664,0.8320000000000001
0.05,20,mad05,1.0,0.69,0.845
0.06,2,mad05,1.0,0.639,0.8195
0.06,4,mad05,1.0,0.768,0.884
0.06,6,mad05,1.0,0.7895,0.8947499999999999
0.06,8,mad05,1.0,0.806,0.903
0.06,10,mad05,1.0,0.8275,0.9137500000000001
0.06,12,mad05,1.0,0.8535,0.92675
0.06,16,mad05,1.0,0.8545,0.92725
0.06,20,mad05,1.0,0.881,0.9405
0.07,2,mad05,1.0,0.7645,0.88225
0.07,4,mad05,1.0,0.8485,0.92425
0.07,6,mad05,1.0,0.86,0.9299999999999999
0.07,8,mad05,1.0,0.8915,0.94575
0.07,10,mad05,1.0,0.9155,0.95775
0.07,12,mad05,1.0,0.9355,0.96775
0.07,16,mad05,1.0,0.955,0.9775
0.07,20,mad05,1.0,0.971,0.9855
0.08,2,mad05,1.0,0.8565,0.92825
0.08,4,mad05,1.0,0.92,0.96
0.08,6,mad05,1.0,0.929,0.9645
0.08,8,mad05,1.0,0.94,0.97
0.08,10,mad05,1.0,0.967,0.9835
0.08,12,mad05,1.0,0.979,0.9895
0.08,16,mad05,1.0,0.9875,0.99375
0.08,20,mad05,1.0,0.9975,0.99875
0.09,2,mad05,1.0,0.895,0.9475
0.09,4,mad05,1.0,0.9555,0.97775
0.09,6,mad05,1.0,0.962,0.981
0.09,8,mad05,1.0,0.9695,0.98475
0.09,10,mad05,1.0,0.9875,0.99375
0.09,12,mad05,1.0,0.9935,0.99675
0.09,16,mad05,1.0,0.9985,0.99925
0.09,20,mad05,1.0,1.0,1.0
0.1,2,mad05,1.0,0.9195,0.95975
0.1,4,mad05,1.0,0.961,0.9804999999999999
0.1,6,mad05,1.0,0.978,0.989
0.1,8,mad05,1.0,0.9905,0.99525
0.1,10,mad05,1.0,0.9965,0.9982500000000001
0.1,12,mad05,1.0,0.9965,0.9982500000000001
0.1,16,mad05,1.0,1.0,1.0
0.1,20,mad05,1.0,1.0,1.0
0.11,2,mad05,1.0,0.9435,0.97175
0.11,4,mad05,1.0,0.9775,0.98875
0.11,6,mad05,1.0,0.9895,0.99475
0.11,8,mad05,1.0,0.9965,0.9982500000000001
0.11,10,mad05,1.0,0.9985,0.99925
0.11,12,mad05,1.0,0.9995,0.99975
0.11,16,mad05,1.0,1.0,1.0
0.11,20,mad05,1.0,1.0,1.0
0.12,2,mad05,1.0,0.9715,0.98575
0.12,4,mad05,1.0,0.983,0.9915
0.12,6,mad05,1.0,0.9965,0.9982500000000001
0.12,8,mad05,1.0,0.9985,0.99925
0.12,10,mad05,1.0,0.999,0.9995
0.12,12,mad05,1.0,1.0,1.0
0.12,16,mad05,1.0,1.0,1.0
0.12,20,mad05,1.0,1.0,1.0
0.13,2,mad05,1.0,0.9715,0.98575
0.13,4,mad05,1.0,0.9905,0.99525
0.13,6,mad05,1.0,0.9975,0.99875
0.13,8,mad05,1.0,0.9995,0.99975
0.13,10,mad05,1.0,1.0,1.0
0.13,12,mad05,1.0,1.0,1.0
0.13,16,mad05,1.0,1.0,1.0
0.13,20,mad05,1.0,1.0,1.0
0.14,2,mad05,1.0,0.9715,0.98575
0.14,4,mad05,1.0,0.992,0.996
0.14,6,mad05,1.0,0.9995,0.99975
0.14,8,mad05,1.0,0.9995,0.99975
0.14,10,mad05,1.0,1.0,1.0
0.14,12,mad05,1.0,1.0,1.0
0.14,16,mad05,1.0,1.0,1.0
0.14,20,mad05,1.0,1.0,1.0
0.15,2,mad05,1.0,0.9855,0.99275
0.15,4,mad05,1.0,0.9945,0.99725
0.15,6,mad05,1.0,1.0,1.0
0.15,8,mad05,1.0,1.0,1.0
0.15,10,mad05,1.0,1.0,1.0
0.15,12,mad05,1.0,1.0,1.0
0.15,16,mad05,1.0,1.0,1.0
0.15,20,mad05,1.0,1.0,1.0
0.16,2,mad05,1.0,0.9855,0.99275
