threshold,n_unknowns,stat,acc_Z,acc_X,overall_accuracy
0.0,2,var,0.0,1.0,0.5
0.0,4,var,0.918,0.066,0.492
0.0,6,var,0.9925,0.0055,0.499
0.0,8,var,0.9985,0.001,0.49975
0.0,10,var,1.0,0.0,0.5
0.0,12,var,1.0,0.0,0.5
0.0,16,var,1.0,0.0,0.5
0.0,20,var,1.0,0.0,0.5
0.005,2,var,0.0,1.0,0.5
0.005,4,var,0.489,0.967,0.728
0.005,6,var,0.742,0.9475,0.84475
0.005,8,var,0.8665,0.9495,0.908
0.005,10,var,0.9345,0.947,0.94075
0.005,12,var,0.969,0.9455,0.9572499999999999
0.005,16,var,0.991,0.958,0.9744999999999999
0.005,20,var,0.9985,0.9675,0.9830000000000001
0.01,2,var,0.0,1.0,0.5
0.01,4,var,0.489,0.9915,0.7402500000000001
0.01,6,var,0.742,0.9905,0.86625
0.01,8,var,0.8665,0.998,0.93225
0.01,10,var,0.9345,0.9975,0.966
0.01,12,var,0.969,0.9995,0.9842500000000001
0.01,16,var,0.991,1.0,0.9955
0.01,20,var,0.9985,1.0,0.99925
0.015,2,var,0.0,1.0,0.5
0.015,4,var,0.489,1.0,0.7444999999999999
0.015,6,var,0.742,0.9985,0.87025
0.015,8,var,0.8665,1.0,0.93325
0.015,10,var,0.9345,1.0,0.9672499999999999
0.015,12,var,0.969,1.0,0.9844999999999999
0.015,16,var,0.991,1.0,0.9955
0.015,20,var,0.9985,1.0,0.99925
0.02,2,var,0.0,1.0,0.5
0.02,4,var,0.489,1.0,0.7444999999999999
0.02,6,var,0.742,1.0,0.871
0.02,8,var,0.8665,1.0,0.93325
0.02,10,var,0.9345,1.0,0.9672499999999999
0.02,12,var,0.969,1.0,0.9844999999999999
0.02,16,var,0.991,1.0,0.9955
0.02,20,var,0.9985,1.0,0.99925
0.025,2,var,0.0,1.0,0.5
0.025,4,var,0.489,1.0,0.7444999999999999
0.025,6,var,0.742,1.0,0.871
0.025,8,var,0.8665,1.0,0.93325
0.025,10,var,0.9345,1.0,0.9672499999999999
0.025,12,var,0.969,1.0,0.9844999999999999
0.025,16,var,0.991,1.0,0.9955
0.025,20,var,0.9985,1.0,0.99925
0.03,2,var,0.0,1.0,0.5
0.03,4,var,0.489,1.0,0.7444999999999999
0.03,6,var,0.742,1.0,0.871
0.03,8,var,0.8665,1.0,0.93325
0.03,10,var,0.9345,1.0,0.9672499999999999
0.03,12,var,0.969,1.0,0.9844999999999999
0.03,16,var,0.991,1.0,0.9955
0.03,20,var,0.9985,1.0,0.99925
0.035,2,var,0.0,1.0,0.5
0.035,4,var,0.489,1.0,0.7444999999999999
0.035,6,var,0.742,1.0,0.871
0.035,8,var,0.8665,1.0,0.93325
0.035,10,var,0.9345,1.0,0.9672499999999999
0.035,12,var,0.969,1.0,0.9844999999999999
0.035,16,var,0.991,1.0,0.9955
0.035,20,var,0.9985,1.0,0.99925
0.04,2,var,0.0,1.0,0.5
0.04,4,var,0.489,1.0,0.7444999999999999
0.04,6,var,0.742,1.0,0.871
0.04,8,var,0.8665,1.0,0.93325
0.04,10,var,0.9345,1.0,0.9672499999999999
0.04,12,var,0.969,1.0,0.9844999999999999
0.04,16,var,0.991,1.0,0.9955
0.04,20,var,0.9985,1.0,0.99925
0.045,2,var,0.0,1.0,0.5
0.045,4,var,0.489,1.0,0.7444999999999999
0.045,6,var,0.742,1.0,0.871
0.045,8,var,0.8665,1.0,0.93325
0.045,10,var,0.9345,1.0,0.9672499999999999
0.045,12,var,0.969,1.0,0.9844999999999999
0.045,16,var,0.991,1.0,0.9955
0.045,20,var,0.9985,1.0,0.99925
0.05,2,var,0.0,1.0,0.5
0.05,4,var,0.489,1.0,0.7444999999999999
0.05,6,var,0.742,1.0,0.871
0.05,8,var,0.8665,1.0,0.93325
0.05,10,var,0.9345,1.0,0.9672499999999999
0.05,12,var,0.969,1.0,0.9844999999999999
0.05,16,var,0.991,1.0,0.9955
0.05,20,var,0.9985,1.0,0.99925
0.055,2,var,0.0,1.0,0.5
0.055,4,var,0.489,1.0,0.7444999999999999
0.055,6,var,0.742,1.0,0.871
0.055,8,var,0.8665,1.0,0.93325
0.055,10,var,0.9345,1.0,0.9672499999999999
0.055,12,var,0.969,1.0,0.9844999999999999
0.055,16,var,0.991,1.0,0.9955
0.055,20,var,0.9985,1.0,0.99925
0.06,2,var,0.0,1.0,0.5
0.06,4,var,0.489,1.0,0.7444999999999999
0.06,6,var,0.742,1.0,0.871
0.06,8,var,0.8665,1.0,0.93325
0.06,10,var,0.9345,1.0,0.9672499999999999
0.06,12,var,0.969,1.0,0.9844999999999999
0.06,16,var,0.991,1.0,0.9955
0.06,20,var,0.9985,1.0,0.99925
0.065,2,var,0.0,1.0,0.5
0.065,4,var,0.489,1.0,0.7444999999999999
0.065,6,var,0.742,1.0,0.871
0.065,8,var,0.8665,1.0,0.93325
0.065,10,var,0.9345,1.0,0.9672499999999999
0.065,12,var,0.969,1.0,0.9844999999999999
0.065,16,var,0.991,1.0,0.9955
0.065,20,var,0.9985,1.0,0.99925
